channelTitle,title,publishedAt,videoId,duration,viewCount,commentCount,likeCount,dislikeCount
LastWeekTonight,Tom Wheeler Is Not A Dingo: Last Week Tonight with John Oliver (HBO),2014-06-16T06:30:00Z,hkjkQ-wCZ5A,PT3M7S,2624749,643,21404,218
LastWeekTonight,Net Neutrality Update: Last Week Tonight with John Oliver (Web Exclusive),2017-05-15T02:22:21Z,qI5y-_sqJT0,PT6M26S,4064679,2904,91032,1161
LastWeekTonight,Warren G. Harding&#39;s Love Letters: Last Week Tonight with John Oliver (HBO),2014-07-14T06:30:00Z,rrawNvcF64g,PT3M7S,1986888,654,16317,207
LastWeekTonight,The Lottery: Last Week Tonight with John Oliver (HBO),2014-11-10T07:30:01Z,9PK-netuhHA,PT14M36S,14057027,5295,93348,2505
LastWeekTonight,New York&#39;s Port Authority: Last Week Tonight with John Oliver (HBO),2014-08-04T06:30:00Z,44fCfJQV7yQ,PT2M52S,2751167,574,19428,252
LastWeekTonight,Other Countries&#39; Presidents - François Hollande: Last Week Tonight with John Oliver (HBO),2014-05-05T06:30:01Z,75bWsqwwOgQ,PT2M30S,2295711,822,14486,274
LastWeekTonight,Stephen Hawking Extended Interview: Last Week Tonight with John Oliver (HBO),2014-06-16T03:53:03Z,OPV3D7f3bHY,PT7M39S,4866609,2473,49602,706
LastWeekTonight,History Lies (Web Exclusive): Last Week Tonight with John Oliver (HBO),2015-08-31T02:54:29Z,ACwenVzN2oU,PT3M36S,5301885,2846,63541,1375
LastWeekTonight,Columbus Day - How Is This Still A Thing: Last Week Tonight with John Oliver (HBO),2014-10-13T13:00:14Z,eKEwL-10s7E,PT2M37S,5227100,3283,48593,1521
LastWeekTonight,Don&#39;t Visit Antarctica: Last Week Tonight with John Oliver (HBO),2014-07-09T13:54:23Z,dH573B1bkHI,PT2M52S,3114340,1329,35533,372
LastWeekTonight,Patents: Last Week Tonight with John Oliver (HBO),2015-04-20T06:30:00Z,3bxcc3SM_KA,PT11M4S,8246036,2955,74708,1520
LastWeekTonight,Season 6 Official Trailer: Last Week Tonight with John Oliver (HBO),2019-01-18T19:00:01Z,CdDBi0DheMw,PT2M6S,2224868,4387,79281,731
LastWeekTonight,Dr. Jane Goodall Interview: Last Week Tonight with John Oliver (HBO),2014-10-27T06:30:00Z,izUzqUrhbh0,PT5M59S,2189850,878,25122,350
LastWeekTonight,Harding: Last Week Tonight with John Oliver (HBO),2017-07-03T06:30:00Z,5cBV8KFFasY,PT8M54S,5218197,3541,99931,1692
LastWeekTonight,Voting On Tuesday - How Is This Still A Thing?: Last Week Tonight with John Oliver (HBO),2016-11-05T15:00:03Z,e0bMfS-_pjM,PT3M53S,2725492,3626,49159,1210
LastWeekTonight,Miss America Pageant: Last Week Tonight with John Oliver (HBO),2014-09-22T06:30:01Z,oDPCmmZifE8,PT15M25S,21983666,9861,165672,5490
LastWeekTonight,#WeGotThoseGeckos: Last Week Tonight with John Oliver (Web Exclusive),2014-08-04T00:32:08Z,iFaRkscKn_Y,PT3M37S,1705991,383,17483,159
LastWeekTonight,U.S. Territories: Last Week Tonight with John Oliver (HBO),2015-03-09T06:30:00Z,CesHr99ezWE,PT13M12S,9833920,7780,101856,2301
LastWeekTonight,"Goodbye, RadioShack: Last Week Tonight with John Oliver (HBO)",2015-02-09T07:30:00Z,3FCioWz7aps,PT3M11S,2676836,1200,32135,358
LastWeekTonight,Native Advertising: Last Week Tonight with John Oliver (HBO),2014-08-04T06:30:01Z,E_F5GxCwizc,PT11M23S,11807984,3253,85140,1837
LastWeekTonight,Fashion: Last Week Tonight with John Oliver (HBO),2015-04-27T06:30:00Z,VdLf4fihP78,PT17M10S,14664065,7293,116202,2852
LastWeekTonight,FIFA II: Last Week Tonight with John Oliver (HBO),2015-06-01T12:46:49Z,qr6ar3xJL_Q,PT13M13S,9571513,4454,100474,1748
LastWeekTonight,Mental Health: Last Week Tonight with John Oliver (HBO),2015-10-05T06:30:01Z,NGY6DqB1HX8,PT11M55S,10899855,7881,116827,2977
LastWeekTonight,Fifty Shades #NotMyChristian Apology (Web Exclusive): Last Week Tonight with John Oliver (HBO),2015-01-26T03:57:17Z,fPloDzu_wcI,PT4M6S,4951812,996,43091,1028
LastWeekTonight,Lost Graphics Vol. 2 (Web Exclusive): Last Week Tonight with John Oliver (HBO),2016-01-25T04:00:01Z,DgOgdGpWqzQ,PT3M14S,3629738,1001,35549,1136
LastWeekTonight,Right To Be Forgotten: Last Week Tonight with John Oliver (HBO),2014-05-19T07:30:01Z,r-ERajkMXw0,PT7M,7177973,1686,49463,925
LastWeekTonight,Roger Goodell (Extended Web Exclusive): Last Week Tonight with John Oliver (HBO),2014-09-22T06:30:01Z,xM8qVuc32Rc,PT2M48S,2228782,443,13285,178
LastWeekTonight,Dr. Oz and Nutritional Supplements: Last Week Tonight with John Oliver (HBO),2014-06-23T06:30:00Z,WA0wKeokWUU,PT16M26S,16817985,7022,123228,3777
LastWeekTonight,Regifting (Web Exclusive): Last Week Tonight with John Oliver (HBO),2015-12-14T04:00:00Z,GjatG8QFoOk,PT3M48S,4308311,1455,52011,1062
LastWeekTonight,Red-Tailed Hawks: Last Week Tonight with John Oliver (HBO),2015-04-02T14:48:36Z,uiN_-AEhTpk,PT4M52S,2045561,1976,29690,326
LastWeekTonight,Shallow Dives (Web Exclusive): Last Week Tonight with John Oliver (HBO),2015-07-06T02:57:07Z,Pk2oW4SDDxY,PT2M57S,5340121,1682,59328,1368
LastWeekTonight,Washington DC Statehood: Last Week Tonight with John Oliver (HBO),2015-08-03T06:30:01Z,4Z4j2CrJRn4,PT17M3S,9059566,9232,98506,2782
LastWeekTonight,Scottish Independence: Last Week Tonight with John Oliver (HBO),2014-09-15T06:30:01Z,-YkLPxQp_y0,PT15M19S,16301686,10581,116926,4383
LastWeekTonight,Elected Judges: Last Week Tonight with John Oliver (HBO),2015-02-23T14:25:31Z,poL7l-Uk3I8,PT13M27S,8398926,3431,59732,1626
LastWeekTonight,Special Districts: Last Week Tonight with John Oliver (HBO),2016-03-07T07:30:00Z,3saU5racsGE,PT15M20S,7663099,4661,81233,2220
LastWeekTonight,Translators: Last Week Tonight with John Oliver (HBO),2014-10-20T06:30:02Z,QplQL5eAxlY,PT16M7S,10504236,5811,107635,1532
LastWeekTonight,Hobby Lobby: Last Week Tonight with John Oliver (HBO),2014-06-30T21:24:11Z,zSQCH1qyIDo,PT6M10S,6792655,3160,45319,1883
LastWeekTonight,Season 2 Promo: Last Week Tonight with John Oliver (HBO),2015-01-09T19:13:14Z,P1EtSBxm0S4,PT1M36S,1318266,909,25220,111
LastWeekTonight,Workplace of the Week - The NFL: Last Week Tonight with John Oliver (HBO),2014-04-28T04:26:59Z,mxyKJisUgJo,PT1M49S,1757784,574,8545,140
LastWeekTonight,"1,000,000 YouTube Subscribers (Web Exclusive): Last Week Tonight with John Oliver",2014-11-03T01:53:28Z,XXCbffp7jLM,PT2M3S,2131038,1209,28717,199
LastWeekTonight,Psychics: Last Week Tonight with John Oliver (HBO),2019-02-25T08:00:02Z,WhMGcp9xIhY,PT21M7S,11131393,17062,163131,5016
LastWeekTonight,Death Penalty: Last Week Tonight with John Oliver (HBO),2014-05-05T06:30:02Z,Kye2oX-b39E,PT12M24S,12629811,8864,103823,2751
LastWeekTonight,Torture: Last Week Tonight with John Oliver (HBO),2015-06-15T06:30:00Z,zmeF2rzsZSU,PT15M13S,10755787,6659,97196,2401
LastWeekTonight,Chiijohn: Last Week Tonight with John Oliver (HBO),2019-11-25T04:00:04Z,xa0oY7LQmtg,PT7M27S,3837364,4966,117196,3089
LastWeekTonight,Mandatory Minimums: Last Week Tonight with John Oliver (HBO),2015-07-27T06:30:00Z,pDVmldTurqk,PT15M25S,7517018,4440,73620,1830
LastWeekTonight,Lost Graphics Vol. 3 (Web Exclusive): Last Week Tonight with John Oliver (HBO),2018-07-16T03:00:01Z,dFnN2toxFaY,PT3M3S,2723880,1437,47918,1055
LastWeekTonight,Nuclear Weapons: Last Week Tonight with John Oliver (HBO),2014-07-28T06:30:01Z,1Y1ya-yF35g,PT15M22S,19404524,10567,137860,4204
LastWeekTonight,USPS: Last Week Tonight with John Oliver (HBO),2020-05-11T06:30:02Z,IoL8g0W9gAQ,PT18M15S,7034668,17467,189141,4551
LastWeekTonight,Marijuana: Last Week Tonight with John Oliver (HBO),2017-04-03T06:30:00Z,BcR_Wg42dv8,PT16M52S,12155516,12704,161940,7878
LastWeekTonight,"Ferguson, MO and Police Militarization: Last Week Tonight with John Oliver (HBO)",2014-08-18T06:30:01Z,KUdHIatS36A,PT15M10S,12449768,9704,105069,4684
LastWeekTonight,State Legislatures and ALEC: Last Week Tonight with John Oliver (HBO),2014-11-03T07:30:00Z,aIMgfBZrrZ8,PT17M18S,9723798,4220,53976,1720
LastWeekTonight,John Oliver Literally Destroys Piñatas (Web Exclusive): Last Week Tonight with John Oliver,2014-08-25T02:30:00Z,fYWtbMb8Fhw,PT2M52S,2747273,572,17061,271
LastWeekTonight,Fan Mail Vol. 2 (Web Exclusive): Last Week Tonight with John Oliver (HBO),2016-07-11T03:00:00Z,cQtYlkwR8lM,PT4M7S,5444091,5061,67204,2349
LastWeekTonight,Net Neutrality II: Last Week Tonight with John Oliver (HBO),2017-05-08T06:30:00Z,92vuuZt7wak,PT19M33S,8229985,12526,209973,4191
LastWeekTonight,SLAPP Suits: Last Week Tonight with John Oliver (HBO),2019-11-11T07:30:01Z,UN8bJb8biZU,PT26M25S,10404875,29035,335843,3744
LastWeekTonight,Rudy Giuliani: Last Week Tonight with John Oliver (HBO),2018-05-07T06:30:00Z,mXQuto1fMp4,PT15M37S,9219093,5583,108808,4584
LastWeekTonight,Civil Forfeiture: Last Week Tonight with John Oliver (HBO),2014-10-06T06:30:02Z,3kEpZWGgJks,PT16M30S,14121174,11016,110550,2625
LastWeekTonight,Cookie Monster&#39;s Ideas (Web Exclusive): Last Week Tonight With John Oliver,2014-09-02T15:21:40Z,InSJBzZr414,PT2M4S,1518465,471,14520,253
LastWeekTonight,#GoodbyeGeckos: Last Week Tonight with John Oliver (HBO),2014-09-08T06:30:02Z,HNPRad65-Kg,PT6M5S,1397140,913,18497,237
LastWeekTonight,Astroturfing: Last Week Tonight with John Oliver (HBO),2018-08-13T06:30:00Z,Fmh4RdIwswE,PT18M34S,8094166,6777,105451,3946
LastWeekTonight,Drones: Last Week Tonight with John Oliver (HBO),2014-09-29T06:30:01Z,K4NRJoCNHIs,PT12M57S,13502519,6885,90159,3186
LastWeekTonight,Bail: Last Week Tonight with John Oliver (HBO),2015-06-08T06:30:01Z,IS5mwymTIJU,PT17M50S,9699192,5720,86969,2149
LastWeekTonight,Predatory Lending: Last Week Tonight with John Oliver (HBO),2014-08-11T06:30:01Z,PDylgzybWAw,PT16M32S,12861349,5254,80622,2523
LastWeekTonight,Public Defenders: Last Week Tonight with John Oliver (HBO),2015-09-14T06:30:31Z,USkEzLuzmZ4,PT15M,9481965,5736,74673,1981
LastWeekTonight,Televangelists: Last Week Tonight with John Oliver (HBO),2015-08-17T06:30:01Z,7y1xJAVZxXg,PT20M6S,31934581,40706,318140,11797
LastWeekTonight,Encryption: Last Week Tonight with John Oliver (HBO),2016-03-14T06:30:00Z,zsjZ2r9Ygzw,PT18M1S,12290966,8346,139046,3319
LastWeekTonight,Lead: Last Week Tonight with John Oliver (HBO),2016-04-18T06:30:06Z,GUizvEjR-0U,PT18M33S,9889136,7913,114397,2618
LastWeekTonight,Debt Buyers: Last Week Tonight with John Oliver (HBO),2016-06-06T06:30:00Z,hxUAntt1z2c,PT20M51S,16074283,14424,180170,4586
LastWeekTonight,Paid Family Leave: Last Week Tonight with John Oliver (HBO),2015-05-11T06:30:01Z,zIhKAQX5izw,PT12M21S,8532856,9474,76556,2381
LastWeekTonight,Student Debt: Last Week Tonight with John Oliver (HBO),2014-09-08T06:30:01Z,P8pjd1QEA0c,PT16M17S,12801244,7640,96902,2400
LastWeekTonight,Stephen Hawking Interview: Last Week Tonight with John Oliver (HBO),2014-06-16T03:52:18Z,T8y5EXFMD4s,PT6M6S,11573462,9748,156110,2665
LastWeekTonight,Season 4 Official Trailer: Last Week Tonight with John Oliver (HBO),2017-01-18T16:58:01Z,ekoETowzmAo,PT1M25S,5723099,4754,75769,3462
LastWeekTonight,Last Week&#39;s News...We Think (Web Exclusive): Last Week Tonight with John Oliver (HBO),2014-05-26T02:30:01Z,w2jtOFfiF80,PT4M22S,2411717,365,17909,341
LastWeekTonight,Credit Reports: Last Week Tonight with John Oliver (HBO),2016-04-11T06:30:04Z,aRrDsbUdY_k,PT18M46S,10789523,6029,94330,2930
LastWeekTonight,Chickens: Last Week Tonight with John Oliver (HBO),2015-05-18T06:30:01Z,X9wHzt6gBgI,PT18M22S,12054658,8264,109766,2955
LastWeekTonight,Opioids II: Last Week Tonight with John Oliver (HBO),2019-04-15T06:30:02Z,-qCKR6wy94U,PT21M21S,7603084,8992,134087,2813
LastWeekTonight,SantaCon: Last Week Tonight with John Oliver (Web Exclusive),2019-12-08T16:00:13Z,_TfCgeYHiBE,PT5M58S,4277086,3629,83575,2006
LastWeekTonight,Climate Change Debate: Last Week Tonight with John Oliver (HBO),2014-05-12T03:30:01Z,cjuGCJJUGsg,PT4M27S,8452323,9898,82215,3373
LastWeekTonight,The NCAA: Last Week Tonight with John Oliver (HBO),2015-03-16T06:30:01Z,pX8BXH3SJn0,PT20M54S,13165547,7912,106188,3041
LastWeekTonight,Standardized Testing: Last Week Tonight with John Oliver (HBO),2015-05-04T06:30:00Z,J6lyURyVz7k,PT18M2S,14846845,13420,125242,3129
LastWeekTonight,Prison Labor: Last Week Tonight with John Oliver (HBO),2019-08-05T06:30:00Z,AjqaNQ018zU,PT18M9S,5322161,12941,117679,3528
