wiki_join_field,index_wiki,season,episode,main_segment_title_wiki,air_date,viewers,episode_overall,index_yt,channelTitle,title,publishedAt,videoId,duration,viewCount,commentCount,likeCount,dislikeCount,published_dow,main_segment_title_yt,duration_in_seconds,duration_time
2014-07-28,11,1,12,Nuclear weapons and the United States,2014-07-27,1000000.0,12,57.0,LastWeekTonight,Nuclear Weapons: Last Week Tonight with John Oliver (HBO),2014-07-28 06:30:01+00:00,1Y1ya-yF35g,PT15M22S,19404524.0,10567.0,137860.0,4204.0,Monday,Nuclear Weapons,922.0,0:15:22
2014-08-04,12,1,13,Native advertising,2014-08-03,960000.0,13,30.0,LastWeekTonight,Native Advertising: Last Week Tonight with John Oliver (HBO),2014-08-04 06:30:01+00:00,E_F5GxCwizc,PT11M23S,11807984.0,3253.0,85140.0,1837.0,Monday,Native Advertising,683.0,0:11:23
2014-08-11,13,1,14,Payday loans,2014-08-10,940000.0,14,73.0,LastWeekTonight,Predatory Lending: Last Week Tonight with John Oliver (HBO),2014-08-11 06:30:01+00:00,PDylgzybWAw,PT16M32S,12861349.0,5254.0,80622.0,2523.0,Monday,Predatory Lending,992.0,0:16:32
2014-08-18,14,1,15,Shooting of Michael Brown and police militarization,2014-08-17,1030000.0,15,60.0,LastWeekTonight,"Ferguson, MO and Police Militarization: Last Week Tonight with John Oliver (HBO)",2014-08-18 06:30:01+00:00,KUdHIatS36A,PT15M10S,12449768.0,9704.0,105069.0,4684.0,Monday,"Ferguson, MO and Police Militarization",910.0,0:15:10
2014-09-08,15,1,16,Student debt,2014-09-07,660000.0,16,80.0,LastWeekTonight,Student Debt: Last Week Tonight with John Oliver (HBO),2014-09-08 06:30:01+00:00,P8pjd1QEA0c,PT16M17S,12801244.0,7640.0,96902.0,2400.0,Monday,Student Debt,977.0,0:16:17
2014-09-15,16,1,17,Scottish independence referendum,2014-09-14,700000.0,17,43.0,LastWeekTonight,Scottish Independence: Last Week Tonight with John Oliver (HBO),2014-09-15 06:30:01+00:00,-YkLPxQp_y0,PT15M19S,16301686.0,10581.0,116926.0,4383.0,Monday,Scottish Independence,919.0,0:15:19
2014-09-22,17,1,18,"United States embargo against Cuba, Miss America 2015",2014-09-21,830000.0,18,26.0,LastWeekTonight,Miss America Pageant: Last Week Tonight with John Oliver (HBO),2014-09-22 06:30:01+00:00,oDPCmmZifE8,PT15M25S,21983666.0,9861.0,165672.0,5490.0,Monday,Miss America Pageant,925.0,0:15:25
2014-09-29,18,1,19,Drones,2014-09-28,710000.0,19,71.0,LastWeekTonight,Drones: Last Week Tonight with John Oliver (HBO),2014-09-29 06:30:01+00:00,K4NRJoCNHIs,PT12M57S,13502519.0,6885.0,90159.0,3186.0,Monday,Drones,777.0,0:12:57
2014-10-06,19,1,20,Civil Asset Forfeiture,2014-10-05,660000.0,20,67.0,LastWeekTonight,Civil Forfeiture: Last Week Tonight with John Oliver (HBO),2014-10-06 06:30:02+00:00,3kEpZWGgJks,PT16M30S,14121174.0,11016.0,110550.0,2625.0,Monday,Civil Forfeiture,990.0,0:16:30
2014-10-20,20,1,21,Special Immigrant Visa,2014-10-19,620000.0,21,46.0,LastWeekTonight,Translators: Last Week Tonight with John Oliver (HBO),2014-10-20 06:30:02+00:00,QplQL5eAxlY,PT16M7S,10504236.0,5811.0,107635.0,1532.0,Monday,Translators,967.0,0:16:07
2014-10-27,21,1,22,Sugar,2014-10-26,760000.0,22,7.0,LastWeekTonight,Sugar: Last Week Tonight with John Oliver (HBO),2014-10-27 06:30:00+00:00,MepXBJjsNxs,PT11M34S,17586401.0,7686.0,112840.0,3517.0,Monday,Sugar,694.0,0:11:34
2014-11-03,22,1,23,American Legislative Exchange Council,2014-11-02,600000.0,23,61.0,LastWeekTonight,State Legislatures and ALEC: Last Week Tonight with John Oliver (HBO),2014-11-03 07:30:00+00:00,aIMgfBZrrZ8,PT17M18S,9723798.0,4220.0,53976.0,1720.0,Monday,State Legislatures and ALEC,1038.0,0:17:18
2014-11-10,23,1,24,Lotteries,2014-11-09,800000.0,24,14.0,LastWeekTonight,The Lottery: Last Week Tonight with John Oliver (HBO),2014-11-10 07:30:01+00:00,9PK-netuhHA,PT14M36S,14057027.0,5295.0,93348.0,2505.0,Monday,The Lottery,876.0,0:14:36
2015-02-09,24,2,1,Pharmaceutical marketing,2015-02-08,720000.0,25,116.0,LastWeekTonight,Marketing to Doctors: Last Week Tonight with John Oliver (HBO),2015-02-09 07:30:01+00:00,YQZ2UeOTO3I,PT17M13S,11756249.0,5326.0,89446.0,1906.0,Monday,Marketing to Doctors,1033.0,0:17:13
2015-02-16,25,2,2,Tobacco,2015-02-15,510000.0,26,98.0,LastWeekTonight,Tobacco: Last Week Tonight with John Oliver (HBO),2015-02-16 07:30:00+00:00,6UsHHOCH4q8,PT18M11S,19473357.0,13736.0,192139.0,5833.0,Monday,Tobacco,1091.0,0:18:11
2015-02-23,26,2,3,Judicial elections,2015-02-22,470000.0,27,44.0,LastWeekTonight,Elected Judges: Last Week Tonight with John Oliver (HBO),2015-02-23 14:25:31+00:00,poL7l-Uk3I8,PT13M27S,8398926.0,3431.0,59732.0,1626.0,Monday,Elected Judges,807.0,0:13:27
2015-03-02,27,2,4,Infrastructure,2015-03-01,710000.0,28,121.0,LastWeekTonight,Infrastructure: Last Week Tonight with John Oliver (HBO),2015-03-02 12:24:57+00:00,Wpzvaqypav8,PT21M14S,13120966.0,8157.0,106770.0,2545.0,Monday,Infrastructure,1274.0,0:21:14
2015-03-09,28,2,5,Voting rights in the U.S. territories,2015-03-08,690000.0,29,28.0,LastWeekTonight,U.S. Territories: Last Week Tonight with John Oliver (HBO),2015-03-09 06:30:00+00:00,CesHr99ezWE,PT13M12S,9833920.0,7780.0,101856.0,2301.0,Monday,U.S. Territories,792.0,0:13:12
